Site,Order,Superfamily,Family,Taxon,,
Bocas,Podocopida,Bairdioidea,Bairdiidae,Bairdoppilata hirsuta,,
Bocas,Podocopida,Bairdioidea,Bairdiidae,Bairdoppilata sp.,,
SoCal,Podocopida,Bairdioidea,Bairdiidae,Bairdoppilata verdesensis,,
Leigh,Podocopida,Bairdioidea,Bythocyprididae,Bythocyprididae sp,,
Bocas,Podocopida,Bairdioidea,Bythocypridinae,Bythocypris promoza,,
Bocas,Podocopida,Bairdioidea,Bythocypridinae,Zabythocypris helicina,,
Leigh,Podocopida,Bairdioidea,Pussellidae,Anchistrocheles,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Actinoseta chelisparsa,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Actinoseta hummelincki,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Amboleberis americana,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Asteropella kaufmani,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Asteropterygion oculitristis,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,cf Parasterope,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Cylindroleberidae sp1 ,,
Bocas,Myodocopida,Cylindroleberidoidea,Cylindroleberididae,Cylindroleberidae sp2,,
Leigh,Podocopida,Cypridinoidea,Cypridindiae,Common one,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Fred MFU,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Jimmorinia gunnari,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Maristella MGL,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Photeros EGD,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Photeros NOL,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Photeros SFM,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia lerneri,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp G,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp H,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp I,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. A,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. B,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. C,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. D,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. E,,
Bocas,Myodocopida,Cypridinoidea,Cypridinidae,Skogsbergia sp. F,,
Bocas,Podocopida,Cypridoidea,Candonidae,Parapontoparta spicacarens,,
SoCal,Platycopida,Cytherelloidea,Cytherellidae,Cytherelloidea californica,,
Lizard,Platycopida,Cytherelloidea,Cytherellidae,Keijcyoidea poikilokosmena,,
Lizard,Podocopida,Cytheroidea,Bythocytheridae,Bythocythere arenicola,,
Lizard,Podocopida,Cytheroidea,Cytheridae,Corallicythere arcanis,,
SoCal,Podocopida,Cytheroidea,Cytheridae,Cythere maia,,
Lizard,Podocopida,Cytheroidea,Cytheridae,Microcytherura aestuaricola,,
Lizard,Podocopida,Cytheroidea,Cytherideidae,Cyprideis australiensis,,
Bocas,Podocopida,Cytheroidea,Cytheromatidae,Megacythere punctocostata,,
Lizard,Podocopida,Cytheroidea,Cytheromatidae,Paracytheroma aestatophfla,,
Lizard,Podocopida,Cytheroidea,Cytheruridae,Cytherura cf. densuireticulata,,
SoCal,Podocopida,Cytheroidea,Cytheruridae,Hemicytherura santosensis,,
Lizard,Podocopida,Cytheroidea,Cytheruridae,Hemicytherura viridiminor,,
Lizard,Podocopida,Cytheroidea,Cytheruridae,Semicytherura sp. L1,,
Bocas,Podocopida,Cytheroidea,Cytheruridae ,Cytheropteron assimiloides,,
Leigh,Podocopida,Cytheroidea,Cytheruridae ,Cytheropteron sp1,,
Leigh,Podocopida,Cytheroidea,Cytheruridae ,Hemicytherura cf. costallata,,
Bocas,Podocopida,Cytheroidea,Cytheruridae ,Semicytherura johnsonoides,,
Bocas,Podocopida,Cytheroidea,Cytheruridae ,Xylocythere rimosa,,
SoCal,Podocopida,Cytheroidea,Hemicytheridae,Ambostracon glacum,,
SoCal,Podocopida,Cytheroidea,Hemicytheridae,Aurila lincolnensis,,
Leigh,Podocopida,Cytheroidea,Hemicytheridae,Bradleya sp,,
SoCal,Podocopida,Cytheroidea,Hemicytheridae,Caudites acosaguensis,,
Leigh,Podocopida,Cytheroidea,Hemicytheridae,Cythereis joanae,,
Bocas,Podocopida,Cytheroidea,Hemicytheridae,Hemicythere sp.,,
Leigh,Podocopida,Cytheroidea,Hemicytheridae,Pterygocythere sp,,
Lizard,Podocopida,Cytheroidea,Krithidae,Parakrithella sp. L1,,
Lizard,Podocopida,Cytheroidea,Krithidae,Parakrithella sp. L2,,
Bocas,Podocopida,Cytheroidea,Limnocytheridae,Limnocythere sanctipatricii,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha heronislandensis,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha insulaecapricornensis,,
SoCal,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha lenticulata,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha parahuahineensis,,
Bocas,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha sp.,,
SoCal,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha sp1,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxoconcha violacea,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxoconchella lizardensis,,
Lizard,Podocopida,Cytheroidea,Loxoconchidae,Loxocorniculum georgei,,
Leigh,Podocopida,Cytheroidea,Neocytherideididae ,Copytus cf. novaezealandiae,,
Lizard,Podocopida,Cytheroidea,Paracytherideidae,Paracytheridea gynaikokratia,,
Lizard,Podocopida,Cytheroidea,Paracytherideidae,Paracytheridea sp. L1,,
Leigh,Podocopida,Cytheroidea,Paradoxostomatidae,cf Paradoxostoma ,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma aculeatum,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma angulatum,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma cf. navicula,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma congruens,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma fuscumaculosum,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma heronislandense,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma kurrawa,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma lizardense,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma maldum ,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma melania ,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma minya,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma moonga,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma sp. L1,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma sp. L2,,
SoCal,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma sp1,,
SoCal,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma striungulum,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma tininarrin,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma virgatum ,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma waminoa,,
Lizard,Podocopida,Cytheroidea,Paradoxostomatidae,Paradoxostoma worooa,,
Lizard,Podocopida,Cytheroidea,Pectocytheridae,Keijia hirundo,,
Lizard,Podocopida,Cytheroidea,Pectocytheridae,Kotoracythere inconspicua,,
Lizard,Podocopida,Cytheroidea,Pectocytheridae,Mckenziartia foveata,,
Leigh,Podocopida,Cytheroidea,Pectocytheridae,Munseyalla,,
Bocas,Podocopida,Cytheroidea,Thaerocytheridae,Thaerocythere sp.,,
Bocas,Podocopida,Cytheroidea,Trachyleberididae,Trachyleberis sp.,,
SoCal,Podocopida,Cytheroidea,Xestoleberididae,Xestoleberis hopkinsi Skogsberg,,
SoCal,Podocopida,Cytheroidea,Xestoleberididae,Xestoleberis scammonensis,,
Bocas,Podocopida,Cytheroidea,Xestoleberididae,Xestoleberis sp.,,MOGA
SoCal,Podocopida,Cytheroidea,Xestoleberididae,Xestoleberis sp1,,
SoCal,Podocopida,Cytheroidea,Xestoleberididae,Xestoleberis sp2,,
Bocas,Podocopida,Darwinuloidea,Darwinulidae,Vestalenula sp,,
Bocas,Halocyprida,Halocypridoidea ,Halocyprididae,Proceroecia convexa,,
SoCal,Podocopida,Macrocypridoidea ,Macrocyprididae,Macrocyprina barbara,,
Bocas,Podocopida,Macrocypridoidea ,Macrocyprididae,Macropyxis kaesleri,,
Leigh,Podocopida,Polycopoidea ,Polycopidae,Polycope sp1,,
Bocas,Podocopida,Pontocypridoidea,Pontocyprididae,Pontocypris sp.,,
Leigh,Punciocopida,Punciodea,Punciidae,Manawa staceyi,,
Bocas,Myodocopida,Sarsielloidea,Philomedidae,Philomedidae sp,,
Bocas,Myodocopida,Sarsielloidea,Rutidermatidae,Rutiderma hartmanni,,
SoCal,Myodocopida,Sarsielloidea,Rutidermatidae,Rutiderma judayi,,
SoCal,Myodocopida,Sarsielloidea,Rutidermatidae,Rutiderma rotundum,,
Bocas,Myodocopida,Sarsielloidea,Rutidermatidae,Rutidermata darbyi cf,,
Bocas,Myodocopida,Sarsielloidea,Rutidermatidae,Rutidermatidae sp. 1,,
Bocas,Myodocopida,Sarsielloidea,Rutidermatidae,Rutidermatidae sp. 2,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 1,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 2,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 3,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 4,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 5,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 6,,
Bocas,Myodocopida,Sarsielloidea,Sarsiellidae,Sarsiellidae sp 7,,
Bocas,Podocopida,Sigillioidea,Saipanettidae,Cardobairdia sp. 36,,
Bocas,Podocopida,Sigillioidea,Saipanettidae,Saipanetta cf. sp. 31,,
Bocas,Podocopida,Sigillioidea,Saipanettidae,Saipanettidae cf. sp. 56,,
Bocas,Podocopida,Sigillioidea,Saipanettidae,Saipanettidae sp. 66,,
Colleague,Podocopida,Terrestricytheroidea,Terrestricytheridae,Terrestricythere elisabethae,,
Colleague,Halocyprida,Thaumatocypridoidea,Thaumatocyprididae,Thaumatocypris sp,,
